latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.375,105.75,4,25200,Asia/Bangkok,7
,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),pressure_msl (hPa),
2024-08-09T16:00,37.9,41,0,1000.2,
2024-08-09T17:00,35.8,51,0,1000.1,
2024-08-09T18:00,32.2,63,0,1000.3,
2024-08-09T19:00,30.7,63,0,1000.9,
2024-08-09T20:00,29.6,67,0,1001.8,
2024-08-09T21:00,28.9,69,0,1002.6,
2024-08-09T22:00,28.3,71,0,1003.3,
2024-08-09T23:00,27.9,73,0,1003.1,
2024-08-10T00:00,27.5,75,0,1002.7,
2024-08-10T01:00,27.3,76,0,1002.1,
2024-08-10T02:00,27.1,77,0,1001.7,
2024-08-10T03:00,27.4,87,0,1002.1,
2024-08-10T04:00,27.3,86,0,1002.1,
2024-08-10T05:00,27.5,85,0,1002.4,
2024-08-10T06:00,27.5,85,0,1002.7,
2024-08-10T07:00,29.5,83,0,1003.3,
2024-08-10T08:00,32.6,65,0,1003.4,
2024-08-10T09:00,34.1,60,0,1003.4,
2024-08-10T10:00,35.5,56,0,1003.1,
2024-08-10T11:00,37,51,0,1002.1,
2024-08-10T12:00,38.2,46,0,1001.1,
2024-08-10T13:00,38.7,45,0,1001,
2024-08-10T14:00,38.9,43,0,1000,
2024-08-10T15:00,38.6,41,0,999.8,
2024-08-10T16:00,37.8,44,0,999.1,
2024-08-10T17:00,37.1,46,0,999,
2024-08-10T18:00,35.6,51,0,999.2,
2024-08-10T19:00,32.8,70,0,1000.1,
2024-08-10T20:00,31.4,75,0,1000.6,
2024-08-10T21:00,30.5,77,0,1001.1,
2024-08-10T22:00,30,76,0,1001.3,
2024-08-10T23:00,29.5,78,0,1001.3,
2024-08-11T00:00,29.2,79,0,1000.8,
2024-08-11T01:00,28.8,82,0,1000.3,
2024-08-11T02:00,28.6,83,0,1000.1,
2024-08-11T03:00,28.5,85,0,1000.1,
2024-08-11T04:00,28.2,86,0,1000,
2024-08-11T05:00,28.2,86,0,1000.1,
2024-08-11T06:00,28,88,0,1000.7,
2024-08-11T07:00,29.8,87,0,1001.5,
2024-08-11T08:00,32.5,69,0,1001.8,
2024-08-11T09:00,33.8,64,0,1001.7,
2024-08-11T10:00,35.1,60,0,1001.2,
2024-08-11T11:00,36.6,54,0,1000.4,
2024-08-11T12:00,38,48,0,999.7,
2024-08-11T13:00,38.1,46,0,1000.1,
2024-08-11T14:00,38,45,0,999.5,
2024-08-11T15:00,32.9,65,0,1000.2,
2024-08-11T16:00,31.9,73,0,999.6,
2024-08-11T17:00,31.4,74,0,1000,
2024-08-11T18:00,30.3,77,0,1000.4,
2024-08-11T19:00,30,80,0,1001.2,
2024-08-11T20:00,29.2,85,0,1002.1,
2024-08-11T21:00,29,87,0,1002.6,
2024-08-11T22:00,29,88,0,1002.4,
2024-08-11T23:00,28.8,89,0,1002.2,
2024-08-12T00:00,28.6,90,0,1001.8,
2024-08-12T01:00,27.9,95,0,1001.6,
2024-08-12T02:00,27.7,95,0,1001,
2024-08-12T03:00,27.6,95,0,1000.7,
2024-08-12T04:00,27.6,94,0,1000.7,
2024-08-12T05:00,27.5,94,0,1000.8,
2024-08-12T06:00,27.5,93,0,1001.3,
2024-08-12T07:00,28.4,90,0,1002,
2024-08-12T08:00,29.8,83,0,1002.5,
2024-08-12T09:00,31.1,77,0,1002.4,
2024-08-12T10:00,32.7,70,0,1002.4,
2024-08-12T11:00,33.5,65,0,1002.1,
2024-08-12T12:00,33.8,64,0,1001.4,
2024-08-12T13:00,33.9,62,0,1001,
2024-08-12T14:00,33.9,63,0,1000.7,
2024-08-12T15:00,33.3,69,0,1000.2,
2024-08-12T16:00,32.3,75,0,999.7,
2024-08-12T17:00,31.9,76,0,1000.2,
2024-08-12T18:00,31.6,77,0,1000.8,
2024-08-12T19:00,31.4,75,0,1001.8,
2024-08-12T20:00,30.8,78,0,1002.3,
2024-08-12T21:00,29.7,83,0,1003.1,
2024-08-12T22:00,29,84,0,1003.5,
2024-08-12T23:00,28.4,83,0,1003.3,
2024-08-13T00:00,28,83,0,1003,
2024-08-13T01:00,27.9,79,0,1002.9,
2024-08-13T02:00,27.5,80,0,1002.4,
2024-08-13T03:00,27.2,82,0,1002.6,
2024-08-13T04:00,26.8,85,0,1002.5,
2024-08-13T05:00,26.5,87,0,1002.9,
2024-08-13T06:00,26.2,89,0,1003.3,
2024-08-13T07:00,28.1,85,0,1003.8,
2024-08-13T08:00,30.8,69,0,1004.3,
2024-08-13T09:00,32.5,64,0,1004.4,
2024-08-13T10:00,34,58,0,1004.1,
2024-08-13T11:00,35.3,52,0,1003.9,
2024-08-13T12:00,36.2,49,0,1003.3,
2024-08-13T13:00,36.6,47,0,1003.2,
2024-08-13T14:00,36.7,47,0,1002.2,
2024-08-13T15:00,35.9,51,0,1001.7,
2024-08-13T16:00,33.3,63,0,1001.9,
2024-08-13T17:00,32.6,68,0,1002.7,
2024-08-13T18:00,32.1,70,0,1003.4,
2024-08-13T19:00,31.4,78,0,1003.6,
2024-08-13T20:00,30.9,82,0,1004.7,
2024-08-13T21:00,30.8,82,0,1005.5,
2024-08-13T22:00,29.9,88,0,1006.2,
2024-08-13T23:00,29.2,92,0,1006,
2024-08-14T00:00,28.8,94,0,1005.6,
2024-08-14T01:00,28.5,89,0,1004.7,
2024-08-14T02:00,28,90,0,1004.5,
2024-08-14T03:00,27.6,92,0,1004.5,
2024-08-14T04:00,27.2,94,0,1004.6,
2024-08-14T05:00,26.9,95,0,1004.6,
2024-08-14T06:00,26.8,95,0,1004.8,
2024-08-14T07:00,28,93,0,1005.6,
2024-08-14T08:00,30.6,74,0,1005.9,
2024-08-14T09:00,32,69,0,1006.2,
2024-08-14T10:00,32.7,64,0,1005.8,
2024-08-14T11:00,33.6,59,0,1005.5,
2024-08-14T12:00,34.4,56,0,1005,
2024-08-14T13:00,35.3,55,0,1004.8,
2024-08-14T14:00,34.1,64,0,1004.2,
2024-08-14T15:00,34.2,62,0,1003.2,
2024-08-14T16:00,33.8,62,0,1002.9,
2024-08-14T17:00,32.8,67,0,1003.1,
2024-08-14T18:00,32.2,69,0,1003.6,
2024-08-14T19:00,31.5,77,0,1003.5,
2024-08-14T20:00,30.8,81,0,1004.7,
2024-08-14T21:00,30.6,83,0,1005.5,
2024-08-14T22:00,29.9,85,0,1006.6,
2024-08-14T23:00,29.3,86,0,1006.3,
2024-08-15T00:00,28.5,88,0,1005.9,
2024-08-15T01:00,28.4,89,0,1005.3,
2024-08-15T02:00,28.1,91,0,1004.8,
2024-08-15T03:00,27.8,92,0,1004.4,
2024-08-15T04:00,27.6,93,0,1004.5,
2024-08-15T05:00,27.3,95,0,1004.3,
2024-08-15T06:00,27.1,96,0,1004.7,
2024-08-15T07:00,28.3,91,0,1005.6,
2024-08-15T08:00,29.8,86,0,1006,
2024-08-15T09:00,31.8,78,0,1006.1,
2024-08-15T10:00,33.9,63,0,1005.1,
2024-08-15T11:00,35.3,55,0,1004.7,
2024-08-15T12:00,36.1,51,0,1003.9,
2024-08-15T13:00,33.8,68,0,1003.9,
2024-08-15T14:00,32.5,73,0,1003.4,
2024-08-15T15:00,33,71,0,1002.9,
2024-08-15T16:00,33.2,70,0,1002.1,
2024-08-15T17:00,32.4,72,0,1002.3,
2024-08-15T18:00,31.6,76,0,1002.7,
2024-08-15T19:00,30.3,84,0,1003.4,
2024-08-15T20:00,29.7,86,0,1003.7,
2024-08-15T21:00,29.4,88,0,1004.4,
2024-08-15T22:00,29.2,91,0,1004.8,
2024-08-15T23:00,29.1,92,0,1004.9,
2024-08-16T00:00,28.9,92,0,1004.4,
2024-08-16T01:00,28.9,94,0,1004,
2024-08-16T02:00,28.6,95,0,1003.7,
2024-08-16T03:00,28.3,95,0,1003.7,
2024-08-16T04:00,28.1,96,0,1003.4,
2024-08-16T05:00,27.9,96,0,1003.4,
2024-08-16T06:00,27.8,97,0,1003.7,
2024-08-16T07:00,28.8,95,0,1004.4,
2024-08-16T08:00,29.9,89,0,1005,
2024-08-16T09:00,30.7,84,0,1005.2,
2024-08-16T10:00,31.4,81,0,1004.9,
